#
#                  objname | hl_names(pgc)                                                                                                                                                                                           |       pgc |   modz |   mod0 |     al2000 |     de2000 |        v |      e_v |     vrad |   e_vrad |     vvir |     pa |   incl |   logr25 | e_logr25 |  type |  bar |  ring |  multiple | compactness |     t |   e_t |   logd25 | e_logd25 |  vmaxg | e_vmaxg|   vrot | e_vrot |    m21 |  e_m21 |   mfir |     ag |    btc |   ubtc |   bvtc |    itc |
#
  PGC049929               | TOL089,PGC049929,2MASXJ14013350-3305320                                                                                                                                                                                                                          |     49929 |  30.40 |    NaN |   14.02597 |  -33.09222 |      899 |       60 |      NaN |      NaN |      794 |  166.0 |   66.8 |     0.37 |     0.03 |       |      |       |           |             |   NaN |   NaN |     0.61 |     0.08 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.28 |  16.86 |    NaN |    NaN |  15.22 |
  NGC5408                 | [PDS2002]1648,TOL116,PGC050073,NGC5408,MCG-07-29-006,LGG344:[G93]007,IRAS14002-4108,HIPASSJ1403-41,GLXYG317.2+19.5+502,ESOLV3250470,ESO325-047,2MASXJ14032090-4122397                                                                                            |     50073 |    NaN |  28.63 |   14.05587 |  -41.37709 |      506 |        3 |      504 |        4 |      364 |   66.2 |   68.1 |     0.27 |     0.05 | IB    | B    |       |           |             |   9.9 |   0.5 |     1.45 |     0.06 |  28.89 |   1.20 |  31.15 |   1.32 |  13.29 |   0.13 |  12.24 |   0.30 |  11.40 |  -0.43 |   0.43 |  11.53 |
  IC4710                  | PGC061922,IRAS18235-6700,IRAS18234-6700,IC4710,HIPASSJ1828-66,ESOLV1030220,ESO103-022,2MASXJ18283796-6658561                                                                                                                                                     |     61922 |  29.52 |  29.34 |   18.47721 |  -66.98225 |      739 |        4 |      740 |        4 |      511 |    NaN |   34.9 |     0.07 |     0.03 | Sm    | B    |       |           |             |   8.9 |   0.4 |     1.54 |     0.03 |  18.96 |   0.77 |  33.16 |   1.47 |  13.68 |   0.17 |  12.97 |   0.38 |  11.99 |  -0.18 |   0.46 |  11.02 |
  NGC6822                 | PGC063616,NGC6822,MCG-02-50-006,IRAS19421-1455,IC4895,HIPASSJ1944-14,DDO209,BARNARD_GALAXY,2MASXJ19445619-1447512                                                                                                                                                |     63616 |    NaN |  23.32 |   19.74916 |  -14.80034 |      -56 |        1 |      -58 |        2 |      -63 |    NaN |   16.9 |     0.02 |     0.05 | IB    | B    |       |           |             |   9.8 |   0.4 |     2.24 |     0.04 |  26.87 |   0.86 |  92.40 |   5.66 |   8.96 |   0.20 |   8.90 |   1.02 |   8.29 |    NaN |    NaN |    NaN |
  NGC6946                 | UGC11597,PGC065001,NGC6946,MCG+10-29-006,IRAS20338+5958,CGCG304-006,ARP029,2MASXJ20345233+6009132                                                                                                                                                                |     65001 |    NaN |  29.14 |   20.58127 |   60.15361 |       46 |        2 |       43 |        3 |      318 |    NaN |   18.3 |     0.02 |     0.04 | SABc  | B    |       |           |             |   5.9 |   0.3 |     2.06 |     0.01 |  98.60 |   2.32 | 314.61 |  11.75 |  10.11 |   0.17 |   7.64 |   1.48 |   8.23 |    NaN |   0.41 |   6.68 |
  NGC7793                 | [PDS2002]0047,PGC073049,NGC7793,MCG-06-01-009,LGG004:[G93]003,IRAS23552-3252,HIPASSJ2357-32,GLXYG004.5-77.2+209,ESOLV3490120,ESO349-012,DUKST349-001,2MASXJ23574982-3235277                                                                                      |     73049 |    NaN |  27.86 |   23.96384 |  -32.59107 |      227 |        2 |      228 |        3 |       60 |   89.5 |   63.6 |     0.24 |     0.03 | Scd   |      |       |           |             |   7.4 |   0.6 |     2.02 |     0.02 |  76.81 |   1.43 |  85.77 |   1.65 |  11.88 |   0.14 |   9.68 |   0.08 |   9.18 |    NaN |    NaN |    NaN |
  NGC7552                 | VV440,PGC070884,NGC7582:[ZM98]0004,NGC7552,MCG-07-47-028,LGG472:[G93]003,IRAS23134-4251,IC5294,HIPASSJ2316-42,ESOLV2910120,ESO291-012,6dFJ2316107-423505,2MASXJ23161076-4235053                                                                                  |     70884 |  31.58 |  32.29 |   23.26967 |  -42.58424 |     1609 |        5 |     1611 |        5 |     1415 |    NaN |   23.6 |     0.04 |     0.03 | Sab   | B    |       |           |             |   2.4 |   0.7 |     1.59 |     0.02 |  82.53 |   2.55 | 205.77 |   7.90 |  13.73 |   0.14 |   8.60 |   0.06 |  11.06 |   0.07 |   0.65 |   9.23 |
  NGC3184                 | UGC05557,SDSSJ101816.90+412527.5,PGC030087,NGC3184,MCG+07-21-037,KUG1015+416,IRAS10152+4140,CGCG211-038,2MIG1415,2MASXJ10181698+4125277                                                                                                                          |     30087 |  30.30 |  30.33 |   10.30471 |   41.42434 |      592 |        1 |      593 |        2 |      765 |    NaN |   14.4 |     0.01 |     0.04 | SABc  | B    |       |           |             |   5.9 |   0.4 |     1.87 |     0.02 |  51.61 |   1.21 | 207.96 |   9.91 |  12.89 |   0.10 |    NaN |   0.07 |  10.31 |  -0.05 |   0.56 |    NaN |
  UGC08201                | [RC2]A1304+67,UGC08201,PGC045372,MCG+11-16-010,DDO165,CGCG316-009,7ZW499                                                                                                                                                                                         |     45372 |    NaN |  28.42 |   13.10692 |   67.70693 |       30 |        2 |       30 |        4 |      308 |   92.5 |   71.2 |     0.29 |     0.05 | I     |      |       | M         | D           |   9.9 |   0.4 |     1.52 |     0.03 |  18.38 |   0.65 |  19.41 |   0.70 |  14.09 |   0.13 |    NaN |   0.10 |  12.28 |  -0.24 |   0.25 |    NaN |
  NGC3627                 | VV308:,UGC06346,SDSSJ112014.98+125929.4,PGC034695,NGC3627,MRC1117+132,MESSIER066,MCG+02-29-019,LGG231:[G93]003,IRAS11176+1315,HIPASSJ1120+13A,CGCG067-057,ARP317:,ARP016,ARK288,AGC006346,ADBSJ112020+1259,2MASXJ11201502+1259286                                |     34695 |  30.40 |  30.30 |   11.33750 |   12.99154 |      721 |        2 |      720 |        2 |      788 |  168.2 |   67.5 |     0.35 |     0.04 | Sb    | B    |       | M         |             |   3.1 |   0.4 |     2.01 |     0.03 | 161.42 |   3.26 | 174.70 |   3.61 |  13.38 |   0.09 |   8.59 |   0.14 |   9.09 |   0.12 |   0.63 |   7.75 |
