| objname   | ra     | dec    |
| char      | double | double |
pgc65634       313.160      -57.2326
pgc128909       312.920      -57.2179
pgc66452       319.060      -64.4647
pgc66291       317.834      -64.0253
pgc66319       317.978      -64.2285
pgc66530       319.590      -63.7607
pgc66517       319.469      -48.3133
pgc66224       317.397      -49.3037
pgc66526       319.568      -48.5375
pgc188428       319.267      -9.00815
pgc2817276       319.627      -9.03121
pgc66566       319.964      -8.78301
pgc5065945       320.805      -45.7472
pgc87414       319.894      -45.3848
pgc64845       307.660      -33.4856
pgc64867       307.773      -18.2006
pgc64866       307.771      -18.2005
pgc64981       308.595      -32.2655
pgc64895       307.968      -30.7988
pgc708196       308.982      -31.1802
pgc65082       309.290      -31.3456
pgc4078688       308.042      -49.5159
pgc65017       308.825      -49.8655
pgc65076       309.259      -50.0943
pgc65036       308.991      -50.1924
pgc64960       308.393      -54.5211
pgc65172       310.158      -54.3031
pgc65256       310.871      -53.3568
pgc128867       311.307      -53.7315
pgc65273       310.989      -80.0008
pgc65339       311.506      -80.0809
pgc5065943       310.899      -68.5742
pgc5065944       311.829      -68.5658
pgc64463       304.682      -16.9460
pgc64647       306.221      -18.3453
pgc64511       305.240      -19.4572
pgc64658       306.335      -19.2679
pgc64580       305.779      -43.8686
pgc546866       306.006      -43.6008
pgc64614       305.992      -43.9953
pgc162339       306.296      -43.4276
pgc64654       306.301      -43.2570
pgc64726       306.926      -43.7311
pgc64506       305.190      -24.1283
pgc64613       305.985      -26.0150
pgc64650       306.278      -24.8094
pgc64657       306.334      -25.8293
pgc64750       307.039      -35.8114
pgc64758       307.075      -35.8506
pgc64772       307.141      -36.0272
pgc64773       307.146      -36.0433
pgc64786       307.284      -27.9140
pgc64747       307.025      -28.0848
pgc64870       307.806      -33.4780
pgc2807152       302.504       66.0835
pgc63873       299.397      -65.1040
pgc64025       300.709      -65.2299
pgc64047       300.911      -65.0753
pgc64216       302.756      -48.6907
pgc486781       303.334      -48.5005
pgc63938       299.915      -49.1827
pgc63876       299.422      -48.4813
pgc64075       301.390      -48.5199
pgc64107       301.671      -48.6499
pgc481532       301.354      -48.9986
pgc493056       301.993      -47.9699
pgc64179       302.357      -48.2847
pgc3918606       302.495      -48.3572
pgc64094       301.523      -48.4744
pgc162241       302.954      -49.1018
pgc62104       279.019       30.8395
pgc64197       302.545      -48.2869
pgc518461       303.314      -46.1453
pgc64363       303.849      -70.5378
pgc64402       304.176      -71.1299
pgc439035       304.022      -52.7612
pgc62870       287.848      -57.0493
pgc394012       288.897      -57.0998
pgc62857       287.653      -56.5436
pgc62706       285.749      -56.1597
pgc62771       286.552      -56.1594
pgc62935       288.468      -56.3094
pgc62938       288.516      -56.6107
pgc62941       288.573      -55.8847
pgc63056       289.761      -56.0271
pgc63151       290.712      -55.7758
pgc63226       291.874      -54.9089
pgc63161       290.918      -55.0657
pgc3907935       291.882      -41.6482
pgc63240       291.993      -41.5754
pgc63571       295.893      -58.6557
pgc63544       295.654      -58.8017
pgc63800       298.638      -12.5679
pgc63803       298.667      -12.6880
pgc4078248       284.244      -42.7030
pgc3097194       283.244      -42.2791
pgc62529       283.241      -42.5374
pgc62495       282.728      -55.4912
pgc62588       284.116      -54.2139
pgc437248       284.137      -52.8816
pgc62563       283.842      -53.8186
pgc62569       283.898      -53.7234
pgc4614836       284.960      -57.0240
pgc62779       286.738       50.3478
pgc62517       283.093      -64.8323
pgc62869       287.846      -64.2190
pgc62918       288.310      -62.0885
pgc83813       198.532      -16.4271
pgc62572       283.922      -64.8114
pgc62988       289.045      -62.3610
pgc63432       294.406      -65.8120
pgc5065942       273.094       18.6083
pgc61558       273.135       18.5994
pgc90298       273.059      -58.2509
pgc61655       273.929       24.9125
pgc61674       274.143       25.0439
pgc61793       275.670      -85.4074
pgc267822       276.862      -71.6673
pgc61776       275.485       68.1288
pgc62049       278.469       49.2786
pgc62030       278.386      -58.4066
pgc62080       278.779       30.6261
pgc1202458       227.755       1.68060
pgc62191       279.746       73.6105
pgc62432       282.000       45.4418
pgc62247       280.217       45.2614
pgc62512       283.008      -57.3210
pgc61116       268.897       18.9248
pgc61021       268.028       18.6722
pgc61102       268.772       18.2572
pgc61161       269.270       12.2397
pgc61169       269.381       11.7324
pgc61385       271.336       23.1299
pgc2801039       271.280       23.1415
pgc61386       271.325       23.1056
pgc61432       271.955       17.6049
pgc5065941       271.938       35.3917
pgc3088568       271.871       35.6238
pgc61423       271.865       35.5640
pgc61515       272.789       39.1703
pgc59325       254.458      -76.9930
pgc58968       251.725      -77.4885
pgc60085       259.972      -77.3643
pgc236037       258.809      -77.4570
pgc59959       258.913      -77.4895
pgc59884       258.445      -77.5361
pgc3137734       260.899       61.8237
pgc59997       259.199       61.9201
pgc60397       262.497       77.3962
pgc60277       261.531       77.7036
pgc60286       261.571       11.3175
pgc60349       262.081       14.1689
pgc60375       262.257       14.2975
pgc60346       262.037       7.42260
pgc60832       266.623       67.3382
pgc60911       267.296       20.8044
pgc1646422       267.548       21.2654
pgc61063       268.465       24.4669
pgc61025       268.042       24.5240
pgc61052       268.317       24.5722
pgc58661       249.536      -4.82153
pgc58633       249.395       37.2859
pgc59083       252.521       42.7398
pgc59310       254.346       38.6719
pgc59419       255.188       23.0440
pgc59408       255.061       23.1063
pgc59426       255.210       23.0110
pgc2609009       256.803       60.9207
pgc59725       257.543       61.3505
pgc59654       256.904       60.7288
pgc59655       256.919       60.7509
pgc5065940       258.232       72.0669
pgc59783       257.889       72.4019
pgc59908       258.661       72.3989
pgc59735       257.555       72.4107
pgc1205406       225.316       1.77348
pgc1330929       257.484       7.78687
pgc59862       258.293       59.3323
pgc59804       258.279       59.3233
pgc2801913       240.760      -75.6588
pgc56125       237.321       21.8286
pgc56013       236.679      -28.7323
pgc56196       237.758      -29.4426
pgc56033       236.802      -28.7740
pgc55954       236.440       61.5558
pgc4018662       239.060       6.09815
pgc57100       241.446       41.3182
pgc57098       241.441       41.3447
pgc214460       241.425       41.3852
pgc57590       243.637      0.821690
pgc57527       243.371     -0.883280
pgc55927       236.190       46.0782
pgc58183       246.851       19.5972
pgc2807207       247.877       20.0937
pgc1093266       234.623      -2.39639
pgc55669       234.646      -1.54797
pgc2800910       234.721      -1.73404
pgc55683       234.715       12.0806
pgc2572081       232.670       57.8837
