# AKL - this is stupid, but be aware that I had to search and replace || -> | | a few times to get IDL to pick up the blanks. Switch to python ASAP.
# "EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"
# pgc|Objname|Dist|e_D|Glon|Glat|SGL|SGB|Vhel|Vgsr|V_LS|SGX|SGY|SGZ|So|DM_T|eDM_T|DM_Q|DM_G|eDM_G|DM_N|GpID|NBG_ID
# %7s|%11s|%6.2f|%5s|%8.4f|%8.4f|%8.4f|%8.4f|%5d|%5d|%5d|%7.2f|%7.2f|%7.2f|%1d|%5.2f|%4.2f|%5.2f|%5.2f|%4.2f|%5.2f|%4d|%8s
# ---| |Mpc|Mpc|deg|deg|deg|deg|km/s|km/s|km/s|Mpc|Mpc|Mpc| |mag|mag|mag|mag|mag|mag| |
# "The Catalogue of Principal Galaxies (PGC) Number"|"Galaxy name"|Distance|"Uncertainty in distance"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Heliocentric velocity"|"Velocity in Galactic stndard of rest (RC3)"|"Local Sheet reference frame (2008, ApJ,676,184)"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Source: 1=CMDs/TRGB; 2=Quality Distances; 3=Cosmicflows-1 group distances; 4=Numerical Action kinematic model"|"Distance modulus from CMDs/TRGB catalog"|"Error in TRGB modulus"|"Distance modulus from Quality Distances catalog; 10% distance uncertainties"|"Distance modulus for group containing galaxy from Cosmicflows-1 catalog"|"Error in group modulus"|"Distance from velocity based on a Numerical Action model"|"Tully 3000 group identification number"|"Nearby Galaxies Catalog (1988) Group ID number"
39573|IC3104|2.14|0.11|301.4140|-16.9505|195.8333|-17.0648|430|243|161|-1.97|-0.56|-0.63|1|26.65|0.10| | | | |252|"14 20 20"
39578|NGC4254|16.80|0.8|270.4311|75.1898|100.0833|-4.5427|2406|2353|2317|-2.94|16.51|-1.33|3| | | |31.13|0.10| |1|"11 -1  1"
39600|NGC4258|7.61|0.38|138.3198|68.8425|68.7411|5.5500|448|508|524|2.75|7.06|0.74|1|29.41|0.10| | | | |209|"14 -4  4"
39613|IC0776|31.50|1.9|278.6901|70.1885|105.4329|-6.1404|2464|2393|2349|-8.33|30.17|-3.37|3| | | |32.49|0.13| |56|"11 -1  1"
39615|UGC07356|7.24|0.36|138.4425|69.0543|68.9560|5.5179|272|331|347|2.59|6.73|0.70|1|29.30|0.10| | | | |212|"14 -7  7"
39628|UGC07354|17.60|0.9|283.2078|65.4847|110.2638|-7.5521|1582|1495|1444|-6.05|16.39|-2.32|3| | | |31.23|0.11| |4|"11  4  1"
39641|PGC039641|16.80|0.8|271.7652|74.7705|100.6245|-4.6082|-235|-289|-326|-3.09|16.48|-1.35|3| | | |31.13|0.10| |1|"11 -1  1"
39656|NGC4260|31.50|1.9|281.5631|67.6303|108.1121|-6.8639|1957|1878|1829|-9.71|29.70|-3.76|3| | | |32.49|0.13| |56|"11-24 24"
39659|NGC4261|31.60|3.2|281.8028|67.3724|108.3771|-6.9394|2238|2158|2109|-9.90|29.79|-3.82|2| | |32.50| | | |56|"11-24 24"
39676|NGC4262|15.50|1.5|270.0903|75.6721|99.6920|-4.2465|1359|1308|1273|-2.60|15.23|-1.15|2| | |30.94| | | |1|"11 -1  1"
39690|IC0779|12.70|1.3|189.5401|82.4943|85.4047|0.3777|279|280|268|1.02|12.66|0.08|2| | | | | | |200|"14 -1  1"
39710|NGC4267|15.90|1.6|274.0150|73.8654|101.6993|-4.8113|1001|944|905|-3.20|15.47|-1.33|2| | |31.00| | | |1|"11 -1  1"
39718|NGC4270|31.50|1.9|282.3682|67.0644|108.7578|-6.9379|2357|2276|2227|-10.05|29.59|-3.80|3| | | |32.49|0.13| |56|"11-24 24"
39724|NGC4274|16.30|0.9|191.4030|82.6207|85.6738|0.3351|929|929|916|1.23|16.25|0.10|3| | | |31.06|0.12| |200|"14 -1  1"
39728|NGC4275|36.00| |207.1003|82.9772|87.5724|-0.2716|2318|2311|2295|1.52|35.78|-0.17|4| | | | | |32.77|199|"13  0  0"
39738|NGC4273|31.50|1.9|282.5286|66.9594|108.8807|-6.9464|2385|2304|2254|-10.11|29.57|-3.81|3| | | |32.49|0.13| |56|"11-24 24"
39748|PGC039748|11.00|0.8|292.3262|44.8313|131.2058|-12.7544|900|755|679|-7.04|8.05|-2.42|3| | | |30.20|0.16| |31|"11-14 10"
39764|NGC4278|16.10|1.6|193.7762|82.7729|86.0086|0.2895|648|647|634|1.12|16.03|0.08|2| | |31.03| | | |200|"14 -1  1"
39765|NGC4276|31.50|1.9|280.5978|69.1945|106.6311|-6.2253|2618|2544|2498|-8.96|29.98|-3.41|3| | | |32.49|0.13| |56|"11-24 24"
39791|NGC4291|26.20|2.6|125.5542|41.5984|41.2984|13.0193|1715|1857|1914|19.16|16.84|5.90|2| | |32.09| | | |763|"42-13 13"
39794|UGC07387|31.50|1.9|283.6081|65.8978|110.0100|-7.1855|1733|1648|1597|-10.69|29.35|-3.94|3| | | |32.49|0.13| |56|"11-24 24"
39800|NGC4283|15.70|1.6|193.4425|82.8135|85.9961|0.3464|1076|1075|1062|1.10|15.66|0.09|2| | |30.98| | | |200|"14 -1  1"
39801|NGC4281|24.40|2.4|282.7540|67.0327|108.8703|-6.8323|2732|2651|2602|-7.85|22.96|-2.91|2| | |31.94| | | |56|"11-24 24"
39803|PGC039803|16.80|0.8|275.4230|73.3775|102.3293|-4.8516|272|213|173|-3.58|16.38|-1.42|3| | | |31.13|0.10| |1|"11 -1  1"
39819|UGC07394|17.60|0.9|285.4936|63.2879|112.6675|-7.9092|1599|1506|1451|-6.73|16.10|-2.42|3| | | |31.23|0.11| |4|"11  4  1"
39840|NGC4288|9.20|0.57|138.5549|69.8908|69.7974|5.5264|534|591|605|3.16|8.60|0.89|3| | | |29.82|0.13| |209|"14 -4  4"
39857|UGC07399A|17.20|1.7|265.0948|78.0446|97.2929|-3.1619|1474|1433|1401|-2.18|17.05|-0.95|2| | |31.17| | | |1|"11 -1  1"
39859|NGC4290|37.00| |130.6985|58.5714|58.3876|8.8670|3032|3127|3159|19.15|31.12|5.70|4| | | | | |32.84|782|"42  0  0"
39886|NGC4289|31.50|1.9|284.3798|65.4930|110.5266|-7.1416|2618|2532|2481|-10.95|29.25|-3.91|3| | | |32.49|0.13| |56|"11-24 24"
39907|NGC4293|16.00| |262.8513|78.8247|96.4670|-2.8011|893|855|825|-1.82|16.02|-0.79|4| | | | | |31.04|14|"11  0  1"
39918|UGC07408|9.20|0.57|138.7494|70.3782|70.2900|5.4889|464|520|533|3.09|8.63|0.88|3| | | |29.82|0.13| |209|"14 -4  4"
39925|NGC4294|16.80|0.8|277.0934|72.8526|103.0463|-4.8332|355|294|254|-3.78|16.33|-1.42|3| | | |31.13|0.10| |1|"11 -1  1"
39950|NGC4298|16.80|0.8|272.3632|75.6726|100.0996|-3.8579|1141|1091|1055|-2.94|16.53|-1.13|3| | | |31.13|0.10| |1|"11 -1  1"
39968|NGC4299|16.80|0.8|277.3927|72.8819|103.0811|-4.7470|238|177|137|-3.79|16.33|-1.39|3| | | |31.13|0.10| |1|"11 -1  1"
39974|NGC4302|16.80|0.8|272.5180|75.6837|100.1189|-3.8230|1149|1099|1063|-2.95|16.53|-1.12|3| | | |31.13|0.10| |1|"11 -1  1"
39979|ESO321-025|24.50|3.4|296.7445|22.7451|154.0498|-16.2798|2147|1962|1872|-21.19|10.31|-6.88|3| | | |31.95|0.28| |469|"23  0  0"
39981|NGC4319|26.20|1.5|125.4454|41.6601|41.3661|13.0971|1357|1499|1556|19.14|16.85|5.93|3| | | |32.09|0.12| |763|"42-13 13"
40001|NGC4303|17.60|0.9|284.3708|66.2767|109.8617|-6.7192|1568|1485|1435|-5.94|16.46|-2.06|3| | | |31.23|0.11| |4|"11  4  1"
40004|UGC07423|23.40|1.2|282.8677|68.1657|107.9556|-6.1543|1257|1180|1132|-7.18|22.17|-2.51|3| | | |31.85|0.11| |5|"11 -5  1"
40011|NGC4308|16.30|0.9|186.7253|82.8904|85.3753|0.9108|589|591|580|1.31|16.24|0.26|3| | | |31.06|0.12| |200|"14 -1  1"
40023|ESO380-019|26.50|3.1|296.2610|26.6984|149.9589|-15.6840|2936|2757|2668|-22.12|12.80|-7.18|3| | | |32.12|0.24| |458|"23  0  5"
40033|NGC4307|16.80|0.8|280.5841|70.6313|105.4726|-5.3673|1051|983|939|-4.47|16.15|-1.57|3| | | |31.13|0.10| |1|"11 -1  1"
40055|NGC4304|27.40|4.1|295.9667|28.9918|147.5968|-15.3019|2631|2455|2368|-22.33|14.17|-7.24|3| | | |32.19|0.30| |454|"23 -5  5"
40059|NGC4309A|23.00|2.3|282.4666|68.8709|107.2888|-5.8731|750|676|629|-6.80|21.86|-2.35|2| | |31.80| | | |5|"11 -5  1"
40066|UGC07436|15.80|1.6|272.7491|75.8971|100.0078|-3.6321|985|935|900|-2.74|15.50|-1.00|2| | |30.98| | | |1|"11 -1  1"
40085|NGC4331|26.20|1.5|125.2041|40.8286|40.5237|13.3244|1570|1714|1772|19.37|16.55|6.03|3| | | |32.09|0.12| |763|"42-13 13"
40086|NGC4310|16.30|0.9|193.2106|83.2801|86.2324|0.7498|912|912|899|1.07|16.26|0.21|3| | | |31.06|0.12| |200|"14 -1  1"
40095|NGC4312|16.80|0.8|271.3785|76.6042|99.2787|-3.3555|153|106|72|-2.71|16.58|-0.98|3| | | |31.13|0.10| |1|"11 -1  1"
40097|NGC4314|16.30|0.9|187.6903|83.0762|85.5850|0.9778|1004|1006|994|1.25|16.24|0.28|3| | | |31.06|0.12| |200|"14 -1  1"
40100|PGC040100|16.80|0.8|277.2199|73.5732|102.5197|-4.3383|44|-14|-54|-3.64|16.38|-1.27|3| | | |31.13|0.10| |1|"11 -1  1"
40115|VCC0571|23.80|2.4|282.0574|69.6484|106.5664|-5.5434|1047|975|930|-6.74|22.68|-2.30|2| | |31.88| | | |5|"11 -5  1"
40119|NGC4316|23.40|1.2|280.7138|70.9544|105.2388|-5.1394|1252|1185|1141|-6.14|22.53|-2.10|3| | | |31.85|0.11| |5|"11 -5  1"
40122|NGC4318|22.10|2.2|281.8506|69.8859|106.3304|-5.4635|1229|1158|1113|-6.18|21.09|-2.10|2| | |31.72| | | |5|"11 -5  1"
40133|NGC4332|24.70|1.8|127.5863|51.0248|50.8344|11.0586|2743|2861|2905|15.29|18.76|4.73|3| | | |31.96|0.15| |761|"42  0 12"
40153|NGC4321|15.20|1.5|271.1335|76.8973|99.0354|-3.1822|1586|1540|1506|-2.38|14.99|-0.84|2| | |30.91| | | |1|"11 -1  1"
40179|NGC4324|31.50|1.9|284.5293|67.1034|109.1974|-6.2176|1667|1587|1538|-10.29|29.55|-3.41|3| | | |32.49|0.13| |56|"11-24 24"
40191|PGC040191|16.00| |292.5810|48.3572|127.9535|-11.2241|1158|1023|951|-9.74|12.49|-3.14|4| | | | | |31.04|438|"22  0  0"
40201|NGC4330|16.80|0.8|278.8074|72.9076|103.3266|-4.4095|1565|1505|1464|-3.87|16.33|-1.29|3| | | |31.13|0.10| |1|"11 -1  1"
40205|IC3247|16.30|0.9|195.4591|83.5305|86.5851|0.8202|570|569|555|0.97|16.26|0.23|3| | | |31.06|0.12| |200|"14 -1  1"
40227|ESO321-028|34.20|2.5|297.0273|23.4029|153.4534|-15.8651|3072|2889|2799|-29.43|14.70|-9.35|3| | | |32.67|0.15| |456|"23  0  5"
40228|NGC4346|14.30|1.4|136.5751|69.3865|69.2620|6.1936|762|822|838|5.04|13.32|1.55|2| | |30.78| | | |102|"12 -1  1"
40240|NGC4339|16.40|1.6|284.2123|67.9353|108.4297|-5.8656|1289|1212|1164|-5.17|15.52|-1.68|2| | |31.08| | | |4|"11  4  1"
40245|NGC4340|16.80|0.8|269.7316|77.7597|98.2227|-2.7585|932|890|857|-2.40|16.63|-0.81|3| | | |31.13|0.10| |1|"11 -1  1"
40251|NGC4343|23.40|1.2|283.5613|68.7739|107.5940|-5.6018|1012|938|891|-7.05|22.24|-2.29|3| | | |31.85|0.11| |5|"11 -5  1"
40252|NGC4342|16.80|0.8|283.4825|68.8698|107.4981|-5.5719|751|677|630|-5.03|15.97|-1.63|3| | | |31.13|0.10| |1|"11 -1  1"
40264|IC3258|16.80|0.8|277.6909|73.9756|102.2963|-3.9782|-435|-491|-530|-3.57|16.40|-1.17|3| | | |31.13|0.10| |1|"11 -1  1"
40265|IC3253|27.40|4.1|296.4893|27.9031|148.8129|-15.1624|2723|2546|2458|-22.64|13.70|-7.17|3| | | |32.19|0.30| |454|"23 -5  5"
40284|NGC4348|29.20|4.2|289.6105|58.7148|117.6800|-8.4140|2012|1906|1846|-13.44|25.62|-4.28|3| | | |32.33|0.29| |62|"11 26 24"
40295|NGC4350|16.80|0.8|270.1669|77.7794|98.2777|-2.6819|1247|1205|1172|-2.42|16.63|-0.79|3| | | |31.13|0.10| |1|"11 -1  1"
40303|NGC4353|23.40|1.2|283.0960|69.5936|106.8195|-5.2782|1125|1053|1008|-6.75|22.34|-2.16|3| | | |31.85|0.11| |5|"11 -5  1"
40306|NGC4351|16.80|0.8|278.2985|73.7511|102.5776|-3.9913|2310|2253|2213|-3.65|16.38|-1.17|3| | | |31.13|0.10| |1|"11 -1  1"
40313|NGC4352|18.50|1.9|279.6128|72.8395|103.5279|-4.2659|2106|2046|2005|-4.32|17.97|-1.38|2| | |31.36| | | |1|"11 -1  1"
40321|IC3268|26.90|3.7|284.1503|68.4786|107.9605|-5.5866|764|689|641|-8.26|25.48|-2.62|3| | | |32.15|0.28| |15|"11  0  1"
40329|PGC040329|29.00| |287.9813|62.6443|113.8043|-7.2591|2059|1965|1910|-11.55|26.18|-3.64|4| | | | | |32.30|61|"11-25 24"
40330|NGC4359|16.30|0.9|174.8111|82.6146|84.1393|1.8049|1253|1261|1252|1.66|16.20|0.51|3| | | |31.06|0.12| |200|"14 -1  1"
40339|PGC040339|15.60|1.0|285.9233|66.1956|110.2662|-6.2330|945|862|812|-5.36|14.51|-1.69|3| | | |30.96|0.13| |2|"11  2  1"
40342|NGC4356|16.80|0.8|282.5815|70.3254|106.1146|-5.0065|1137|1068|1023|-4.65|16.10|-1.47|3| | | |31.13|0.10| |1|"11 -1  1"
40349|PGC040349|16.00| |126.9341|49.4768|49.2867|11.5753|1317|1439|1486|10.32|11.99|3.24|4| | | | | |31.04|114|"12  0  1"
40367|UGC07490|10.00| |126.2366|46.6205|46.4056|12.2294|470|600|650|6.99|7.34|2.20|4| | | | | |30.08|822|"44  0  0"
40375|NGC4365|23.10|2.3|283.8072|69.1819|107.3028|-5.3014|1240|1167|1121|-6.85|21.98|-2.14|2| | |31.84| | | |5|"11 -5  1"
40378|NGC4386|27.00|2.7|125.1760|41.4818|41.1950|13.3085|1649|1792|1849|19.80|17.33|6.22|2| | |32.16| | | |763|"42-13 13"
40394|ESO380-025|26.50|3.1|296.7827|27.1422|149.6447|-15.1170|2788|2610|2522|-22.11|12.95|-6.92|3| | | |32.12|0.24| |458|"23  0  5"
40396|NGC4369|11.20|1.1|145.7434|76.5340|76.6436|4.2064|1044|1079|1083|2.59|10.89|0.82|3| | | |30.25|0.21| |107|"12 -6  1"
40425|IC3292|15.80|1.6|267.0684|79.1637|96.9015|-2.0434|710|673|643|-1.89|15.65|-0.56|2| | |30.99| | | |1|"11 -1  1"
40442|NGC4371|16.90|1.7|279.6729|73.3671|103.1217|-3.9274|941|883|843|-3.83|16.42|-1.16|2| | |31.15| | | |1|"11 -1  1"
40455|NGC4374|18.50|1.9|278.2076|74.4784|101.9985|-3.5490|910|856|817|-3.85|18.10|-1.15|2| | |31.33| | | |1|"11 -1  1"
40475|NGC4384|36.00| |131.1094|62.2036|62.0496|8.5066|2512|2597|2624|16.60|31.28|5.30|4| | | | | |32.77|756|"42 11 11"
40477|NGC4377|17.70|1.8|275.3335|76.2080|100.2125|-2.9666|1336|1288|1252|-3.13|17.40|-0.92|2| | |31.25| | | |1|"11 -1  1"
40484|NGC4379|15.90|1.6|273.7737|76.9721|99.4066|-2.7085|1071|1026|992|-2.59|15.62|-0.75|2| | |31.00| | | |1|"11 -1  1"
40490|NGC4378|31.50|1.9|286.1076|66.9391|109.6665|-5.7830|2559|2479|2430|-10.54|29.49|-3.17|3| | | |32.49|0.13| |56|"11-24 24"
40494|NGC4376|16.80|0.8|285.5508|67.7265|108.8798|-5.5525|1137|1060|1011|-5.42|15.85|-1.63|3| | | |31.13|0.10| |1|"11 -1  1"
40495|IC3308|5.06|0.25|215.4968|84.1621|88.8008|0.6061|315|308|290|0.11|5.06|0.05|1|28.52|0.10| | | | |212|"14 -7  7"
40498|NGC4373|34.20|2.5|297.4848|22.8375|154.1299|-15.5955|3373|3190|3100|-29.64|14.37|-9.19|3| | | |32.67|0.15| |456|"23  0  5"
40500|NGC4391|24.00|2.4|127.4180|51.9666|51.7991|11.1010|1348|1464|1507|14.56|18.50|4.62|2| | |31.90| | | |106|"12  5  1"
40507|NGC4380|16.80|0.8|281.9417|71.8180|104.7725|-4.3126|970|906|864|-4.28|16.22|-1.27|3| | | |31.13|0.10| |1|"11 -1  1"
40515|NGC4382|17.90|1.8|267.7121|79.2372|96.9473|-1.9097|758|722|691|-2.16|17.72|-0.60|2| | |31.26| | | |1|"11 -1  1"
40516|NGC4383|16.80|0.8|272.1239|77.7569|98.5943|-2.4128|1710|1668|1635|-2.51|16.62|-0.71|3| | | |31.13|0.10| |1|"11 -1  1"
40537|NGC4389|17.10|0.8|136.7306|70.7441|70.6285|6.1759|720|777|790|5.65|16.08|1.84|3| | | |31.17|0.10| |102|"12 -1  1"
40549|NGC4373A|37.30|3.7|297.5012|23.2800|153.6882|-15.4735|2935|2753|2663|-32.24|15.95|-9.96|2| | |32.86| | | |456|"23  0  5"
40562|NGC4387|18.00|1.8|278.8454|74.4655|102.1165|-3.4247|472|418|379|-3.78|17.60|-1.08|2| | |31.27| | | |1|"11 -1  1"
40563|UGC07512|17.60|0.9|287.9682|64.2803|112.3642|-6.4640|1503|1415|1361|-6.66|16.19|-1.98|3| | | |31.23|0.11| |4|"11 -4  1"
40564|NGC4385|29.00| |288.7799|62.7354|113.9019|-6.8942|2140|2047|1992|-11.60|26.18|-3.46|4| | | | | |32.30|61|"11-25 24"
40566|IC3322A|23.40|1.2|284.7160|69.1734|107.4880|-5.0361|995|923|876|-7.02|22.27|-2.06|3| | | |31.85|0.11| |5|"11 -5  1"
40581|NGC4388|16.80|0.8|279.1216|74.3354|102.2648|-3.4481|2524|2469|2431|-3.57|16.41|-1.01|3| | | |31.13|0.10| |1|"11 -1  1"
40596|NGC4395|4.74|0.24|162.0943|81.5330|82.3053|2.7325|319|335|329|0.63|4.69|0.23|1|28.38|0.10| | | | |212|"14 -7  7"
40597|NGC4390|16.80|0.8|281.8350|72.2743|104.3820|-4.0727|1101|1039|997|-4.17|16.26|-1.20|3| | | |31.13|0.10| |1|"11 -1  1"
40600|NGC4393|16.30|0.9|207.1127|84.3032|88.0301|0.9729|755|751|735|0.56|16.28|0.28|3| | | |31.06|0.12| |200|"14 -1  1"
40607|IC3322|16.80|0.8|284.5764|69.5113|107.1764|-4.8937|1204|1133|1087|-4.95|16.02|-1.44|3| | | |31.13|0.10| |1|"11 -1  1"
40614|NGC4394|16.80|0.8|268.2129|79.3235|96.9624|-1.7836|921|885|855|-2.04|16.69|-0.52|3| | | |31.13|0.10| |1|"11 -1  1"
40616|IC3328|16.90|1.7|282.3506|71.9002|104.7796|-4.1613|1025|962|919|-4.30|16.30|-1.23|2| | |31.13| | | |1|"11 -1  1"
40621|UGC07522|17.60|0.9|287.4332|65.5323|111.1569|-6.0412|1426|1342|1290|-6.32|16.34|-1.85|3| | | |31.23|0.11| |4|"11 -4  1"
40622|NGC4396|16.80|0.8|274.3581|77.1085|99.3982|-2.5195|-126|-171|-205|-2.74|16.58|-0.74|3| | | |31.13|0.10| |1|"11 -1  1"
40624|IC3327|16.80|0.8|275.9007|76.4009|100.1592|-2.7377|462|415|379|-2.96|16.54|-0.80|3| | | |31.13|0.10| |1|"11 -1  1"
40631|PGC040631|16.80|0.8|284.1309|70.1318|106.5712|-4.6821|1304|1235|1190|-4.78|16.07|-1.37|3| | | |31.13|0.10| |1|"11 -1  1"
40643|NGC4405|16.80|0.8|273.4435|77.5785|98.9198|-2.3390|1747|1704|1671|-2.61|16.61|-0.69|3| | | |31.13|0.10| |1|"11 -1  1"
40644|NGC4402|16.80|0.8|278.7885|74.7859|101.8571|-3.2354|236|183|145|-3.45|16.44|-0.95|3| | | |31.13|0.10| |1|"11 -1  1"
40645|UGC07534|16.00| |129.2892|58.4931|58.3473|9.6058|724|821|854|8.35|13.55|2.69|4| | | | | |31.04|115|"12  0  1"
40653|NGC4406|17.90|1.8|279.0890|74.6370|102.0231|-3.2668|-221|-275|-313|-3.71|17.44|-1.02|2| | |31.13| | | |1|"11 -1  1"
40665|UGCA281|5.68|0.28|134.1524|68.0821|67.9424|7.0623|287|353|371|2.12|5.22|0.70|1|28.77|0.10| | | | |212|"14 -7  7"
40670|PGC040670|16.80|0.8|284.2010|70.3010|106.4426|-4.5690|1095|1027|982|-4.75|16.09|-1.34|3| | | |31.13|0.10| |1|"11 -1  1"
40692|NGC4414|17.70|1.8|174.5463|83.1823|84.5685|2.1781|720|729|719|1.67|17.61|0.67|2| | |31.24| | | |149|"12  0  0"
40695|NGC4411A|16.80|0.8|283.8762|70.8151|105.9531|-4.3746|1282|1215|1171|-4.61|16.13|-1.28|3| | | |31.13|0.10| |1|"11 -1  1"
40705|NGC4413|14.90|0.8|279.8285|74.3546|102.3678|-3.2863|101|47|8|-3.19|14.56|-0.86|1|30.87|0.10| | | | |1|"11 -1  1"
40715|NGC4412|30.60|6.4|287.4911|66.0894|110.6838|-5.7422|2294|2212|2161|-10.76|28.50|-3.06|3| | | |32.43|0.41| |59|"11 24 24"
40745|NGC4411B|16.80|0.8|284.0695|70.8480|105.9609|-4.3035|1269|1202|1158|-4.61|16.13|-1.26|3| | | |31.13|0.10| |1|"11 -1  1"
40756|NGC4417|16.00|1.6|283.4694|71.5198|105.2935|-4.0896|843|779|736|-4.21|15.39|-1.14|2| | |31.02| | | |1|"11 -1  1"
40761|IC3356|16.80|0.8|281.3897|73.3935|103.3978|-3.5201|1100|1042|1002|-3.89|16.34|-1.03|3| | | |31.13|0.10| |1|"11 -1  1"
40762|NGC4355|29.00| |290.0485|61.3792|115.3897|-7.0013|2179|2082|2025|-12.27|25.86|-3.52|4| | | | | |32.30|61|"11-25 24"
40772|NGC4419|13.50|1.4|276.4501|76.6425|100.0632|-2.4817|-261|-307|-342|-2.35|13.27|-0.58|2| | |30.65| | | |1|"11 -1  1"
40775|NGC4409|17.60|0.9|288.5207|64.6796|112.1299|-6.0617|1693|1606|1554|-6.60|16.23|-1.86|3| | | |31.23|0.11| |4|"11 -4  1"
40785|NGC4421|16.80|0.8|275.7889|77.0294|99.6735|-2.3375|1517|1472|1438|-2.82|16.57|-0.69|3| | | |31.13|0.10| |1|"11 -1  1"
40791|UGC07559|4.97|0.25|148.5971|78.7416|78.9322|4.0245|222|251|251|0.95|4.87|0.35|1|28.48|0.10| | | | |212|"14 -7  7"
40801|NGC4423|16.80|0.8|286.6330|67.9800|108.8764|-5.0721|1092|1016|968|-5.42|15.86|-1.49|3| | | |31.13|0.10| |1|"11 -1  1"
40807|UGC07557|16.80|0.8|285.6775|69.3180|107.5486|-4.6709|935|864|817|-5.06|15.99|-1.37|3| | | |31.13|0.10| |1|"11 -1  1"
40809|NGC4424|6.00| |283.8823|71.3898|105.4752|-4.0534|439|374|331|-1.53|5.53|-0.41|4| | | | | |28.80|260|"14  0  0"
40811|IC3365|16.80|0.8|275.0899|77.4379|99.2670|-2.1771|2336|2293|2259|-2.71|16.60|-0.64|3| | | |31.13|0.10| |1|"11 -1  1"
40816|NGC4425|16.80|0.8|280.2470|74.5300|102.2975|-3.0903|1866|1812|1774|-3.58|16.42|-0.91|3| | | |31.13|0.10| |1|"11 -1  1"
40836|NGC4441|19.00|1.9|127.1064|52.1310|51.9802|11.2804|2674|2790|2833|11.51|14.72|3.73|2| | |31.40| | | |761|"42  0 12"
40850|NGC4429|16.80|0.8|282.3805|73.0147|103.8734|-3.5096|913|854|813|-4.03|16.31|-1.03|3| | | |31.13|0.10| |1|"11 -1  1"
40851|NGC4430|16.80|0.8|286.5622|68.3683|108.5286|-4.8947|1450|1375|1328|-5.33|15.90|-1.44|3| | | |31.13|0.10| |1|"11 -1  1"
40860|NGC4428|37.00| |292.7509|54.2294|122.5280|-8.7843|2992|2875|2809|-19.65|30.82|-5.65|4| | | | | |32.84|82|"11-34 34"
40861|UGC07567|23.40|1.2|285.5898|69.7048|107.2033|-4.4920|869|799|753|-6.91|22.32|-1.84|3| | | |31.85|0.11| |5|"11 -5  1"
40886|NGC4434|22.50|2.2|285.2738|70.2049|106.7211|-4.3169|1068|1000|955|-6.45|21.48|-1.69|2| | |31.75| | | |5|"11 -5  1"
40887|IC3370|26.80|2.7|297.9206|23.3021|153.7625|-15.0944|2934|2752|2662|-23.20|11.44|-6.98|2| | |32.14| | | |456|"23  0  5"
40894|NGC4433|37.00| |292.8535|54.1247|122.6495|-8.7716|2999|2881|2815|-19.72|30.78|-5.64|4| | | | | |32.84|82|"11-34 34"
40898|NGC4435|16.70|1.7|280.1781|74.8910|101.9997|-2.8849|773|721|683|-3.46|16.29|-0.84|2| | |31.12| | | |1|"11 -1  1"
40904|UGC07577|2.59|0.13|137.7532|72.9442|72.8500|5.9287|195|245|256|0.76|2.46|0.27|1|27.07|0.10| | | | |214|"14 +7  7"
40914|NGC4438|16.80|0.8|280.3507|74.8330|102.0732|-2.8844|69|16|-22|-3.51|16.43|-0.85|3| | | |31.13|0.10| |1|"11 -1  1"
40931|UGC07580|16.00|1.6|285.5376|70.1637|106.8038|-4.2633|716|648|602|-4.61|15.27|-1.19|2| | |31.02| | | |1|"11 -1  1"
40933|UGC07579|30.60|6.4|287.2335|67.8734|109.0840|-4.9324|2252|2176|2128|-9.97|28.83|-2.63|3| | | |32.43|0.41| |59|"11 24 24"
40944|ESO380-034|34.20|2.5|297.7827|25.3076|151.7186|-14.7243|3039|2860|2771|-29.13|15.67|-8.69|3| | | |32.67|0.15| |456|"23  0  5"
40950|NGC4442|15.30|1.5|284.1769|71.8191|105.1688|-3.7380|515|452|410|-3.99|14.71|-1.00|2| | |30.92| | | |1|"11 -1  1"
40970|IC3383|16.20|1.6|283.8142|72.3015|104.7046|-3.5631|1844|1783|1741|-4.11|15.66|-1.01|2| | |31.04| | | |1|"11 -1  1"
40973|NGC4449|4.25|0.21|136.8560|72.4016|72.2962|6.1784|203|256|267|1.28|4.03|0.46|1|28.14|0.10| | | | |212|"14 -7  7"
40985|IC3381|16.70|1.7|282.2721|73.7242|103.2760|-3.1238|675|619|579|-3.82|16.20|-0.91|2| | |31.11| | | |1|"11 -1  1"
40988|NGC4448|16.30|0.9|195.3493|84.6646|87.1726|1.7905|661|661|648|0.80|16.27|0.51|3| | | |31.06|0.12| |200|"14 -1  1"
40993|UGC07590|23.40|1.2|285.3040|70.8055|106.2180|-3.9866|1118|1052|1008|-6.53|22.46|-1.63|3| | | |31.85|0.11| |5|"11 -5  1"
